➜  Bachelor Arbeit LaTex git:(main) ✗ python Code/main.py
####################################################################################################
Training: 1WL+NN: sum
Cross-Validation Split 1/10:
        Epoch: 50,       Train Loss: -0.03136,   Train Acc: 55.6%,       Val Loss: 0.00127,      Val Acc: 49.3%
        Epoch: 100,      Train Loss: -0.04354,   Train Acc: 56.6%,       Val Loss: 0.00145,      Val Acc: 48.7%
        Epoch: 150,      Train Loss: -0.05146,   Train Acc: 57.0%,       Val Loss: 0.00159,      Val Acc: 47.3%
        Epoch: 200,      Train Loss: -0.05635,   Train Acc: 58.7%,       Val Loss: 0.00177,      Val Acc: 48.7%
        Epoch: 250,      Train Loss: -0.06347,   Train Acc: 58.4%,       Val Loss: 0.0019,       Val Acc: 47.3%
        Epoch: 300,      Train Loss: -0.05843,   Train Acc: 59.2%,       Val Loss: 0.00157,      Val Acc: 48.0%
        Epoch: 350,      Train Loss: -0.06555,   Train Acc: 59.1%,       Val Loss: 0.00178,      Val Acc: 48.0%
        Epoch: 400,      Train Loss: -0.05729,   Train Acc: 59.0%,       Val Loss: 0.0016,       Val Acc: 48.0%
        Epoch: 450,      Train Loss: -0.06321,   Train Acc: 59.2%,       Val Loss: 0.00205,      Val Acc: 47.3%
        Epoch: 500,      Train Loss: -0.05434,   Train Acc: 57.5%,       Val Loss: 0.00211,      Val Acc: 44.7%
Cross-Validation Split 2/10:
        Epoch: 50,       Train Loss: -0.03078,   Train Acc: 55.6%,       Val Loss: 0.00206,      Val Acc: 46.0%
        Epoch: 100,      Train Loss: -0.0393,    Train Acc: 57.0%,       Val Loss: 0.0023,       Val Acc: 44.7%
        Epoch: 150,      Train Loss: -0.0501,    Train Acc: 58.1%,       Val Loss: 0.00323,      Val Acc: 44.0%
        Epoch: 200,      Train Loss: -0.05102,   Train Acc: 58.4%,       Val Loss: 0.00341,      Val Acc: 41.3%
        Epoch: 250,      Train Loss: -0.04679,   Train Acc: 58.1%,       Val Loss: 0.00254,      Val Acc: 45.3%
        Epoch: 300,      Train Loss: -0.05439,   Train Acc: 58.0%,       Val Loss: 0.00308,      Val Acc: 42.7%
        Epoch: 350,      Train Loss: -0.05793,   Train Acc: 59.2%,       Val Loss: 0.00256,      Val Acc: 45.3%
        Epoch: 400,      Train Loss: -0.0585,    Train Acc: 59.6%,       Val Loss: 0.00298,      Val Acc: 44.0%
        Epoch: 450,      Train Loss: -0.05869,   Train Acc: 58.8%,       Val Loss: 0.00297,      Val Acc: 44.7%
        Epoch: 500,      Train Loss: -0.06175,   Train Acc: 59.6%,       Val Loss: 0.00306,      Val Acc: 44.0%
Cross-Validation Split 3/10:
        Epoch: 50,       Train Loss: -0.0388,    Train Acc: 55.9%,       Val Loss: 0.00303,      Val Acc: 44.0%
        Epoch: 100,      Train Loss: -0.04764,   Train Acc: 57.9%,       Val Loss: 0.00319,      Val Acc: 42.7%
        Epoch: 150,      Train Loss: -0.04935,   Train Acc: 57.6%,       Val Loss: 0.0035,       Val Acc: 41.3%
