        Epoch: 375,      Train Loss: -1.11193,   Train Acc: 98.3%,       Val Loss: -0.00556,     Val Acc: 43.8%
        Epoch: 400,      Train Loss: -1.12444,   Train Acc: 98.8%,       Val Loss: -0.00584,     Val Acc: 45.5%
        Epoch: 425,      Train Loss: -1.12145,   Train Acc: 98.5%,       Val Loss: -0.00496,     Val Acc: 43.8%
        Epoch: 450,      Train Loss: -1.12268,   Train Acc: 98.7%,       Val Loss: -0.00563,     Val Acc: 44.6%
        Epoch: 475,      Train Loss: -1.13502,   Train Acc: 99.1%,       Val Loss: -0.00525,     Val Acc: 44.6%
        Epoch: 500,      Train Loss: -1.14119,   Train Acc: 99.3%,       Val Loss: -0.00544,     Val Acc: 45.5%
Cross-Validation Split 3/10:
        Epoch: 25,       Train Loss: -1.03635,   Train Acc: 95.5%,       Val Loss: -0.0091,      Val Acc: 53.6%
        Epoch: 50,       Train Loss: -1.06738,   Train Acc: 96.7%,       Val Loss: -0.00792,     Val Acc: 50.0%
        Epoch: 75,       Train Loss: -1.08902,   Train Acc: 97.5%,       Val Loss: -0.00901,     Val Acc: 53.6%
        Epoch: 100,      Train Loss: -1.08221,   Train Acc: 97.2%,       Val Loss: -0.00849,     Val Acc: 52.7%
        Epoch: 125,      Train Loss: -1.08456,   Train Acc: 97.3%,       Val Loss: -0.00875,     Val Acc: 53.6%
        Epoch: 150,      Train Loss: -1.1136,    Train Acc: 98.3%,       Val Loss: -0.00724,     Val Acc: 50.0%
        Epoch: 175,      Train Loss: -1.08891,   Train Acc: 97.4%,       Val Loss: -0.00815,     Val Acc: 52.7%
        Epoch: 200,      Train Loss: -1.08369,   Train Acc: 97.3%,       Val Loss: -0.00778,     Val Acc: 50.9%
        Epoch: 225,      Train Loss: -1.11403,   Train Acc: 98.4%,       Val Loss: -0.00891,     Val Acc: 54.5%
        Epoch: 250,      Train Loss: -1.10485,   Train Acc: 98.1%,       Val Loss: -0.00673,     Val Acc: 49.1%
        Epoch: 275,      Train Loss: -1.12278,   Train Acc: 98.8%,       Val Loss: -0.00738,     Val Acc: 49.1%
        Epoch: 300,      Train Loss: -1.09539,   Train Acc: 97.7%,       Val Loss: -0.0066,      Val Acc: 48.2%
        Epoch: 325,      Train Loss: -1.13877,   Train Acc: 99.3%,       Val Loss: -0.0077,      Val Acc: 50.9%
        Epoch: 350,      Train Loss: -1.13147,   Train Acc: 99.0%,       Val Loss: -0.00698,     Val Acc: 48.2%
        Epoch: 375,      Train Loss: -1.12215,   Train Acc: 98.6%,       Val Loss: -0.00717,     Val Acc: 50.0%
        Epoch: 400,      Train Loss: -1.13577,   Train Acc: 99.1%,       Val Loss: -0.00728,     Val Acc: 50.0%
        Epoch: 425,      Train Loss: -1.12608,   Train Acc: 98.8%,       Val Loss: -0.00637,     Val Acc: 48.2%
        Epoch: 450,      Train Loss: -1.1325,    Train Acc: 99.1%,       Val Loss: -0.00554,     Val Acc: 45.5%
        Epoch: 475,      Train Loss: -1.11616,   Train Acc: 98.6%,       Val Loss: -0.00635,     Val Acc: 48.2%
        Epoch: 500,      Train Loss: -1.13523,   Train Acc: 99.2%,       Val Loss: -0.00591,     Val Acc: 47.3%
Cross-Validation Split 4/10:
        Epoch: 25,       Train Loss: -1.03651,   Train Acc: 95.6%,       Val Loss: -0.00779,     Val Acc: 49.5%
        Epoch: 50,       Train Loss: -1.06191,   Train Acc: 96.6%,       Val Loss: -0.00866,     Val Acc: 53.2%
        Epoch: 75,       Train Loss: -1.08393,   Train Acc: 97.3%,       Val Loss: -0.00825,     Val Acc: 50.5%
        Epoch: 100,      Train Loss: -1.09989,   Train Acc: 97.8%,       Val Loss: -0.00587,     Val Acc: 45.9%
        Epoch: 125,      Train Loss: -1.09924,   Train Acc: 97.9%,       Val Loss: -0.00485,     Val Acc: 45.0%
